country,city,revenue,transactions
Russia,Dipayal,2751.89,10
United States,Sari,2049.75,10
France,Dumingag,2381.86,10
France,Dallas,3751.09,10
Poland,Oslo,2474.82,10
China,Saint-Malo,2845.23,10
China,Kumla,2709.29,10
Colombia,Gualaceo,2043.64,10
Jamaica,La Argentina,2323.52,10
China,Głuchów,2201.61,10
China,Atengmelang,2688.11,10
Poland,Coxim,3182.68,10
Yemen,Changshou,1906.66,10
Indonesia,Młynary,2769.46,10
Indonesia,Shirgjan,2688.65,10
Thailand,Sapat,2946.55,10
Brazil,Wichian Buri,2255.47,10
Germany,Pilar,2185.49,10
Pakistan,Jiaqu,3441.36,10
Peru,Cognac,2392.79,10
Sudan,Sterlibashevo,2732.89,10
Iran,Haiphong,2727.62,10
Nigeria,Śniadowo,2949.31,10
South Africa,Tulusmulyo,2018.83,10
China,Cimuncang,2735.56,10
France,Dengfang,2683.08,10
Philippines,Maomiaoji,3136.35,10
China,Paris 05,2351.19,10
France,Cúa,3074.97,10
Poland,Yuetang,3109.30,10
Serbia,Capissayan Sur,2738.30,10
France,Beberon,2632.00,10
Ireland,Stadtbredimus,2946.96,10
China,Memphis,2971.00,10
Martinique,Saquarema,2053.64,10
Pakistan,Beringin,3390.30,10
China,Hodošan,2700.05,10
Poland,Reguengos de Monsaraz,2628.24,10
Bosnia and Herzegovina,Bedayu,2929.11,10
China,Kultayevo,2103.70,10
China,San José,2953.99,10
Cameroon,Jaguaribe,2341.53,10
Brazil,Sémé,1642.30,10
France,Wuxiang,2034.21,10
Poland,Newport,2606.46,10
Russia,Qindu,2295.21,10
Iran,Nghi Xuân,2220.43,10
Mongolia,Sindangsari,2215.20,10
Indonesia,San Nicolas,3378.74,10
Philippines,Alfenas,2253.94,10
Peru,Tangwang,2617.36,10
Czech Republic,San Juan Ixcoy,2468.42,10
Uruguay,Zašová,3392.52,10
Poland,Ekibastuz,3160.29,10
Portugal,Gamagōri,2094.19,10
Uzbekistan,Debar,2236.42,10
Portugal,Barra do Piraí,2398.48,10
China,Kurjan,2282.75,10
Japan,Hägersten,2185.49,10
Ethiopia,Bernardo Larroudé,2755.58,10
Indonesia,Hekou,2204.66,10
Russia,Želetava,2756.50,10
Brazil,Ismailia,3478.90,10
Malta,Kiuruvesi,2924.10,10
Philippines,Kisasa,3083.47,10
Kazakhstan,Xinquan,1904.79,10
Japan,Retiro,2466.45,10
Russia,Jinshan,2682.01,10
Philippines,Vatutino,2274.43,10
Egypt,Irosin,2078.59,10
Latvia,Phaya Thai,2194.67,10
China,Ilangay,2507.82,10
Philippines,Paseyan,2427.89,10
China,Sarvaš,1972.55,10
Greece,Neklyudovo,2920.32,10
China,Magnitogorsk,2795.97,10
Argentina,Riđica,2967.48,10
Ukraine,Rožaje,2148.08,10
Brazil,Dera Bugti,2816.13,10
United States,Changzhi,2460.08,10
Indonesia,Beverwijk,2725.19,10
China,Vatutine,2342.20,10
Nigeria,Gordeyevka,2278.91,10
Ukraine,Changleng,2593.90,10
Jamaica,Ubud,1787.83,10
Russia,Saint John,2908.63,10
Iran,Rossosh’,2335.97,10
Yemen,San Jose,2444.86,10
Finland,Iparia,2090.34,10
Argentina,Sinanju,2323.80,10
Indonesia,Recarei,2630.26,10
Indonesia,Chifeng,2375.18,10
Belarus,Orosh,3223.46,10
Nicaragua,Changxingbao,2353.89,10
China,Cincinnati,2297.24,10
Peru,Kokofata,2328.54,10
Sweden,Starobachaty,2638.45,10
Philippines,Benavila,1835.42,10
Morocco,Nowosielce,2413.03,10
United States,Phú Vang,3108.34,10
China,Liufu,2538.04,10
China,Cadiz,2708.40,10
Indonesia,Niamtougou,2569.42,10
China,Villa Ocampo,3045.75,10
Russia,Zhuhe,1795.09,10
Russia,Ketawang,2874.89,10
China,Kiukainen,2269.32,10
Poland,Shimada,2620.08,10
China,Sa Bot,2674.01,10
Macedonia,Kassel,3024.66,10
Madagascar,Siwalan,2768.81,10
Brazil,Metz,2660.54,10
Philippines,Zuobude,2393.95,10
Japan,Banja Luka,2488.17,10
Nigeria,Chengdong,2534.75,10
Poland,Dieppe,2238.69,10
Sweden,Erping,2276.15,10
China,Enonkoski,2441.56,10
Indonesia,La Guacamaya,2764.65,10
Finland,Zhambyl,2279.59,10
Indonesia,Marathon,2245.99,10
South Korea,Vapnyarka,3029.72,10
China,Piskivka,1671.97,10
Equatorial Guinea,Jaba‘,1864.21,10
Pakistan,Şūrān,3316.96,10
Brazil,Tireman Timur,2089.74,10
Sweden,Can-Avid,1997.12,10
Poland,Balite,3645.94,10
China,Kafr Qūd,2608.65,10
China,Quảng Yên,2139.63,10
Morocco,Zubtsov,2632.96,10
Ukraine,Otlja,2553.46,10
Philippines,Shchigry,3377.51,10
Sweden,Munjungan,2495.21,10
Myanmar,Letlhakane,3092.13,10
New Caledonia,Nghĩa Hành,1788.12,10
Czech Republic,Agrela,2425.53,10
Brazil,Hyżne,2760.58,10
China,Liurenba,2562.85,10
China,Bryansk,3076.26,10
China,Bellavista,2589.25,10
Yemen,Damai,2788.39,10
Japan,Novoishimskiy,2541.88,10
Indonesia,Kauran,2545.13,10
France,Strömsund,3084.69,10
Indonesia,Oenopu,2115.94,10
Samoa,An Châu,3077.26,10
China,Neglasari,2828.76,10
Czech Republic,Bandar ‘Abbās,2186.33,10
Nigeria,Ciudad del Este,2299.27,10
Russia,Masuguru,2116.63,10
China,Catu,2441.19,10
Lebanon,Az Zāhir,3006.42,10
Czech Republic,Garça,2600.26,10
United States,Kaminokawa,2901.26,10
China,Visby,2754.59,10
United States,Pangnirtung,1779.96,10
United States,Bojonegoro,2277.61,10
Canada,Koltushi,3015.16,10
Cuba,Otacílio Costa,2618.40,10
Nigeria,Pho Si Suwan,2019.28,10
China,Pali,2699.94,10
China,Strelitsa,1833.72,10
United States,Qŭrghontepa,2335.50,10
United States,Bègles,2160.92,10
Greece,Vaiamonte,2415.37,10
Nigeria,Bāglung,2431.17,10
China,Nouna,3234.64,10
Indonesia,Kabongan Kidul,2325.62,10
Philippines,Jeffrey’s Bay,3141.00,10
Seychelles,Novi Bečej,2662.64,10
Argentina,Caldono,2354.57,10
Ukraine,San Esteban,2189.79,10
China,Alameda,2841.32,10
Peru,Thị Trấn Mộc Châu,2934.65,10
Burundi,Kwali,1893.88,10
Albania,Ventersburg,2924.37,10
Brazil,Pavlodol’skaya,3063.23,10
Iran,Feilaixia,2009.62,10
France,Poretskoye,2094.19,10
Norway,Oslo,2320.83,10
Belarus,Baluk,1967.21,10
Ukraine,Rönninge,2155.73,10
United States,Saint Louis,1935.11,10
Portugal,Suan Luang,2535.56,10
Morocco,Shaochang,3013.47,10
China,Falun,2368.09,10
Philippines,Kinamayan,1905.19,10
Russia,Patique,2714.20,10
Germany,Miguel Pereira,3330.55,10
Nigeria,Intibucá,2490.01,10
Sweden,Sorokino,2666.77,10
Brazil,Luoxiong,1684.96,10
Thailand,Dioila,2346.20,10
Kazakhstan,Cola,2485.49,10
Russia,Agbannawag,2628.76,10
Greece,Pucheng,2440.57,10
China,Devesa,3009.36,10
China,Hexi,2717.02,10
Argentina,Round Rock,1804.25,10
Mongolia,Jhingergācha,3249.23,10
Poland,Strzelce Krajeńskie,2542.55,10
China,Brataj,2662.17,10
Indonesia,Synya,1847.82,10
Indonesia,Shiroishi,2466.24,10
Portugal,Cunliji,2118.20,10
Malaysia,Huanghu,2269.99,10
Philippines,La Puerta de San José,1517.21,10
Peru,Ramanavichy,2787.34,10
Colombia,Caohe,1581.24,10
Indonesia,Batan,2321.69,10
Slovenia,Tân Hòa,2564.94,10
Philippines,Saint Joseph,2745.27,10
Indonesia,Phayakkhaphum Phisai,2566.57,10
China,München,2411.09,10
Czech Republic,Odoyev,2152.22,10
Portugal,Obolensk,2364.60,10
Russia,Turt,3127.01,10
Sweden,Gandzak,2531.94,10
Peru,Obudu,2369.84,10
United States,Chigasaki,2745.38,10
China,Cikaduen,2363.75,10
Germany,Tongyuanpu,2564.69,10
Zimbabwe,Bugene,2864.55,10
Sweden,Ciudad Bolívar,3001.18,10
China,Rio Preto da Eva,2378.04,10
Indonesia,Leština,2543.47,10
Taiwan,Sukoanyar,1785.97,10
